"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
669276,"Lee, Dylan","L",859,144,"45.4",1.5367765156803619,6.458684517,-0.07621254298099818,4.824627258305159
606965,"Devenski, Chris","R",533,139,"43.5",-1.5577096678437232,6.418499062,0.1103530428442911,4.837443185078908
681870,"Sabrowski, Erik","L",198,114,"51.9",1.1470703183136362,6.03959596,-0.3285644821656851,4.158556796575378
676755,"Mattson, Isaac","R",100,134,"49.1",-1.656666785358313,6.0113,-0.1508158110516934,4.275233202317293
676974,"Meyer, Max","R",967,146,"46.1",-1.3876347664136024,5.815460186,0.2295478346946563,4.133461240177185
542882,"Andriese, Matt","R",88,146,"43.1",-2.160873243828687,5.717272727,-0.41426879456327975,4.080427407429914
671106,"Allen, Logan","L",1664,114,"44.6",1.3326085279269173,5.376129808,-0.22884412461007128,3.835641286539748
657508,"Baumann, Mike","R",1066,9999,"48.7",-1.3804663682122664,6.096219512,0.1366732599418756,4.364813904997441
663989,"Vespi, Nick","L",169,110,"48.9",1.3796658366907861,6.435207101,-0.16166049531162655,4.670779669651613
594798,"deGrom, Jacob","R",172,140,"34.0",-2.0370429192715074,5.612790698,-0.03863537754425238,4.26114511306637
607481,"Bummer, Aaron","L",974,144,"7.3",2.626924781798177,5.131211499,0.3030683772743743,4.834755175288337
676961,"Boushley, Caleb","R",63,142,"45.1",-1.8250049878911212,6.045555556,-0.1738373298814475,4.390311136575842
489446,"Yates, Kirby","R",1025,140,"21.5",-2.292095001732525,5.262741463,-0.3500245458023562,4.496734601278205
669923,"Kirby, George","R",2967,136,"36.6",-1.7961652693752266,5.866788001,0.14812834299697175,4.420407643736486
600986,"Vieira, Thyago","R",737,9999,"46.8",-1.5493343949821994,6.055658073,0.0596791719574224,4.335625238779362
677944,"Cecconi, Slade","R",1290,109,"37.3",-1.7699119812464654,5.64627907,0.05902901698240958,4.2537874723984
456501,"Cueto, Johnny","R",167,108,"32.6",-2.206427810859147,5.451137725,-0.22154574594127258,4.181854521972094
665896,"Marte, José","R",311,108,"28.5",-2.165895326156114,5.539807074,-0.047013230278957534,4.386541897220743
643361,"Herget, Kevin","R",151,158,"51.3",-0.9782878447666445,6.09192053,0.38607554626907975,4.3892889441749
683409,"Chivilli, Angel","R",512,115,"40.1",-1.8766153918616533,5.9246875,0.011381468116365872,4.337154567213958
657240,"Merryweather, Julian","R",272,112,"55.2",-1.1397482245816906,6.162169118,0.29411867987836876,4.097233871697076
663542,"Hudson, Bryan","L",927,158,"13.3",2.9063466507414915,5.020248112,0.4375298548015852,4.434065435143367
519043,"Moore, Matt","L",854,108,"43.8",1.6777616656731744,6.376229508,-0.0799099309321344,4.687556897811286
605154,"Brebbia, John","R",994,9999,"40.7",-1.6253161384963775,5.874637827,0.05201702299357641,4.431563261386496
506433,"Darvish, Yu","R",1189,135,"39.9",-1.7470111559752832,5.602607233,-0.15646071550112503,4.275107778072618
702795,"Loutos, Ryan","R",35,138,"33.5",-2.294795290017139,6.000571429,-0.21302910109498344,4.619931532976827
592773,"Stanek, Ryne","R",977,9999,"45.6",-1.3805041722931999,6.297430911,0.3163735648069594,4.565274209309663
664123,"Effross, Scott","R",55,147,"-2.9",-3.1675839351204154,3.825818182,-0.8628791216982661,3.9427593761140813
650633,"King, Michael","R",2818,135,"29.3",-2.145029406175083,5.498811214,-0.18807217948280044,4.400131767514403
682243,"Miller, Bryce","R",2749,136,"43.0",-1.5842593208678204,5.567930156,0.166101783147202,3.9310862940923625
622098,"Smith, Drew","R",318,121,"41.2",-1.8278487507333934,5.670345912,-0.1474730983531205,4.199654095337395
670950,"Richards, Trevor","R",1180,9999,"52.3",-1.135537841960952,6.27959322,0.3317453837729239,4.384528123508271
664875,"Lawrence, Justin","R",1080,115,"-2.2",-3.2595490130901057,4.357648148,-0.8318851390539368,4.451531696540574
681867,"Criswell, Cooper","R",1755,111,"12.4",-2.797251150315209,4.977219373,-0.3993439603678819,4.450454474711928
669461,"Liberatore, Matthew","L",1356,138,"45.2",1.603331989902914,6.441681416,-0.0355255660456728,4.789524688451414
596295,"Gomber, Austin","L",2542,115,"53.1",1.0217325748837662,6.530601888,-0.39571394995449044,4.643378077741348
592836,"Walker, Taijuan","R",1355,143,"40.6",-1.9011491161973781,6.453365314,-0.10949153297682705,4.917818532338809
665871,"Assad, Javier","R",2538,112,"54.8",-1.0466034696142854,6.000078802,0.2229743061262044,4.200827705121025
647315,"Pop, Zach","R",735,141,"29.6",-2.4354857185322074,5.425918367,-0.3345036385463277,4.228111163374447
641360,"Bickford, Phil","R",154,147,"25.0",-2.309831375941735,4.921623377,-0.2189301600805611,3.9493642538833718
657514,"Bernardino, Brennan","L",858,111,"18.4",2.355433403249041,4.981561772,0.2368352081074006,4.278168198334645
518876,"Kelly, Merrill","R",1142,109,"25.3",-2.2371254147310187,5.484684764,-0.24530054123703296,4.540673060599823
642528,"Loáisiga, Jonathan","R",61,147,"42.3",-1.6608867356119115,5.42557377,-0.010415738873790948,3.9226206218403905
680704,"Sandlin, Nick","R",1003,114,"11.8",-2.4905150360234134,4.490189432,-0.47274894452116023,4.068595092085599
693433,"Woo, Bryan","R",1715,136,"26.8",-2.2155939948002943,5.045364431,-0.26240129838948595,4.056588193459199
622663,"Severino, Luis","R",2888,121,"41.1",-1.5554512666709044,5.910803324,0.07422070399489421,4.49110518072817
641745,"Keller, Brad","R",743,9999,"49.4",-1.2957611814269197,6.359286676,0.2259826691425377,4.583688704797963
621051,"Wilson, Steven","R",623,145,"43.4",-1.8294516883074332,5.617383628,-0.21120822854167223,4.090308232547362
643256,"Cimber, Adam","R",416,108,"-22.9",-3.4310335485341366,2.401370192,-1.3454201288907168,3.282383553578773
682989,"Mederos, Victor","R",107,108,"36.9",-1.954743590506327,5.694018692,-0.18166672330784478,4.360516595865195
