Season,Name,Team,Name,Team,Season,Age,W,L,SV,G,GS,IP,CG,ShO,QS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,ERA,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,FIP,xFIP,ERA-,FIP-,xFIP-,K%,BB%,SIERA,E-F,K-BB%,Balls,Strikes,Pitches,RS,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS/9,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,WAR,Dollars,ERA,IP,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xERA,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),NameASCII,PlayerId,MLBAMID
2024,"Tyler Rogers","SFG","Tyler Rogers","SFG",2024,33,3,4,1,77,0,70.1,0,0,0,290,67,23,22,7,6,2,7,1,0,51,2.81516608036031,6.526066822653446,0.7677725673709936,8.5,0.8957346619328259,0.24187725631768953,1.0379147670015285,0.273972602739726,0.81196581,3.564584072482162,3.6895967091621196,69.87472455668113,91.41928960649065,90.95125754418632,0.17586207,0.02068966,3.329631805251373,-0.749417992121852,0.15517241,277,725,1002,57,0.273972602739726,1.848484848,0.160714285,0.544642857,0.294642857,0.166666666,0.106060606,7.29383939002444,0.35555556,0.33333333,0.31111111,0.24444444,0.52444444,0.23111111,0.5750895142555237,4.6007161140441895,2.81516608036031,70.1,85.21779087611607,7.530730111258371,10,0.04424779,112.575,69,0.30530973,226,,0.00798403,,,,,0.63672655,0.35528942,,,,,,,,82.69999694824219,,,,,82.34670723942006,73.58118087254213,,,,,,,-4.983837127685547,,,,,-1.6392537179785462,3.7814553935876054,,,,,,,-6.317499160766602,,,,,-7.5754455757739025,6.979291251536166,,,,,,,-0.3826544061303139,,,,,9.40808790922165,-3.8926431722939014,,,,,,,-4.783180076628923,,,,,1.474621929345086,-1.0934390933409837,,,,,,,0.25,0.68454259,0.5249501,0.7826087,0.85023041,0.83840304,0.63273453,"Tyler Rogers",15541,643511
2023,"Tyler Alexander","DET","Tyler Alexander","DET",2023,28,2,1,0,25,1,44,0,0,0,181,44,25,22,8,5,0,2,0,0,44,4.500000390139527,9.000000780279054,1.022727361395347,8.8,1.6363637782325553,0.25287356321839083,1.1136364601860445,0.29508196721311475,0.65326633,4.095949523311022,4.137188441722877,106.10201733401748,96.74696601053243,96.55113440196337,0.24309392,0.02762431,3.480311304036275,0.4040508668285048,0.21546961,202,477,679,30,0.29508196721311475,0.640625,0.1796875,0.3203125,0.5,0.03125,0.125,6.136364168372082,0.33333333,0.41085271,0.25581395,0.14728682,0.54263566,0.31007752,0.10367081686854362,0.829366534948349,4.500000390139527,44,89.232593446266,18.802440493125616,14,0.10769231,113.065,52,0.4,130,,0.28129602,,0.35051546,,,0.11045655,0.08836524,,,,0.16936672,,,,89.91832665248691,,86.37562702082786,,,89.81200276692708,81.27333272298178,,,,82.75130429475203,,,4.846700898015686,,-0.6902495933180096,,,9.285341288248699,-2.574222278594971,,,,7.935469022004501,,,10.508272939951633,,5.637029888249245,,,7.279417928059896,-0.541748317082723,,,,4.638419109842052,,,3.676427759230137,,-0.07098723948001862,,,0.6415965631604195,0.4446117617189884,,,,-2.5137817561626434,,,1.9248312875550455,,-0.029826571210091857,,,0.8554620842138927,0.7410196028649807,,,,-2.1858971792718638,,,0.26538462,0.6300716,0.4904271,0.73913043,0.86742424,0.84084084,0.61708395,"Tyler Alexander",17735,641302
2024,"Tim Hill","- - -","Tim Hill","- - -",2024,34,4,0,0,62,0,67,0,0,0,291,77,32,25,2,19,2,2,0,0,31,3.358209624431877,4.164179934295527,2.5522393145682263,1.63157895,0.2686567699545501,0.2851851851851852,1.4328361064242674,0.31645569620253167,0.69327731,3.5694649332216204,4.016395037659975,83.08368890025858,84.37396923363569,98.07267805738756,0.10652921,0.0652921,3.6176278758993163,-0.21125530878974352,0.04123711,309,676,985,45,0.31645569620253167,4.351351351,0.161016949,0.682203389,0.156779661,0.054054054,0.054054054,6.044777323977378,0.34309623,0.37238494,0.28451883,0.20083682,0.51046025,0.28870293,0.4949994683265686,3.959995746612549,3.358209624431877,67,87.96958527260638,-6.6354006503490695,4,0.0167364,111.942,97,0.40585774,239,,0.2601626,,,,,0.68597561,0.05182927,,,,0.00203252,,,,90.6968765258789,,,,,88.65096354166667,82.21176566329657,,,,89.3499984741211,,,11.193848609924316,,,,,10.043487774884259,2.010166317808862,,,,-9.41263198852539,,,1.5081185698509216,,,,,-3.788228714554398,2.178229163674747,,,,1.0345263481140137,,,-2.4954000525176525,,,,,7.744203794747591,-2.453681953251362,,,,0.01512143388390541,,,-0.974765645514708,,,,,1.1472894510737173,-4.811141084806591,,,,0.7560716941952705,,,0.27083333,0.65,0.50203252,0.70192308,0.93589744,0.88663968,0.6097561,"Tim Hill",16814,657612
2023,"Dylan Dodd","ATL","Dylan Dodd","ATL",2023,25,2,2,0,7,7,34.1,0,0,1,164,53,29,29,9,12,1,1,1,0,15,7.601942029117549,3.9320389805780422,3.1456311844624336,1.25,2.3592233883468254,0.3509933774834437,1.89320395361165,0.3464566929133858,0.6928839,6.924943408036576,6.5028407344883075,172.40957292077618,161.45756383817488,148.45795760107842,0.09146341,0.07317073,6.185947481693077,0.6769986210809726,0.01829268,171,397,568,26,0.3464566929133858,0.774193548,0.185185185,0.355555555,0.459259259,0.032258064,0.14516129,6.81553423300194,0.41911765,0.34558824,0.23529412,0.08088235,0.5,0.41911765,-0.5197495818138123,-4.157996654510498,7.601942029117549,34.1,92.57883391203704,16.788425925925925,17,0.125,114.824,63,0.46323529,136,,0.48943662,,0.04753521,,,,0.28521127,,,,0.1778169,,,,92.14604176034173,,85.26296657986111,,,,81.78642216435185,,,,82.89307124071782,,,6.130954220998201,,0.6026135903817637,,,,-0.12091622529206453,,,,6.997345877165841,,,9.53857685336106,,4.0587033872251155,,,,2.792239907347126,,,,6.1686824383121905,,,-4.264997825026512,,-0.8605187721550465,,,,-6.589176911860704,,,,-3.136973701417446,,,-1.5341718795059396,,-3.1871065635372093,,,,-4.067393155469571,,,,-3.1059145558588575,,,0.28125,0.7005814,0.53521127,0.68253968,0.88381743,0.84210526,0.6056338,"Dylan Dodd",29928,689266
2024,"Brant Hurter","DET","Brant Hurter","DET",2024,25,6,1,0,10,1,45.1,0,0,0,175,34,13,13,4,6,0,0,0,1,38,2.580882425332979,7.544117858665631,1.1911765039998363,6.33333333,0.7941176693332243,0.20118343195266272,0.8823529659258047,0.23622047244094488,0.78488372,3.0341268334009244,3.321252462062087,64.7973615589909,74.52930206322199,80.77922025704046,0.21714286,0.03428571,3.1864725944180914,-0.4532444080679454,0.18285714,195,450,645,13,0.23622047244094488,1.581395348,0.1328125,0.53125,0.3359375,0.139534883,0.093023255,2.580882425332979,0.36641221,0.42748092,0.20610687,0.20610687,0.5648855,0.22900763,0.7382432222366333,5.905945777893066,2.580882425332979,45.1,88.46768188476562,10.206665754318237,6,0.04580153,112.105,48,0.36641221,131,,0.07131783,,,,,0.50387597,0.30697674,,,,0.11782946,,,,92.10869830587636,,,,,92.42707932692308,83.13737164121686,,,,85.62631868061267,,,4.340270000955333,,,,,9.781607666015624,-4.061018857088956,,,,9.465598859285054,,,6.044481692106827,,,,,2.5762330510066107,1.841155389342645,,,,2.527446746826172,,,1.05445471778512,,,,,8.02901554852724,0.04964415356516838,,,,0.41422196477651596,,,2.292292864750261,,,,,2.4704663226237664,0.025072804830893122,,,,0.5450289010217315,,,0.26666667,0.61538462,0.47751938,0.57352941,0.88333333,0.81493506,0.60465116,"Brant Hurter",30133,676428
2024,"Jakob Junis","- - -","Jakob Junis","- - -",2024,31,4,0,1,24,6,67,0,0,1,253,49,22,20,8,8,0,3,1,0,51,2.686567278900457,6.850746561196166,1.074626911560183,6.375,1.074626911560183,0.2024793388429752,0.8507463049851448,0.22404371584699453,0.77868852,3.6888678602982172,3.874310364919695,62.59443057962945,87.68905761220667,95.4149966935812,0.20158103,0.03162055,3.7240037971002966,-1.0023005813977601,0.16996047,289,655,944,26,0.22404371584699453,0.961038961,0.209424083,0.387434554,0.403141361,0.077922077,0.103896103,3.4925374625705947,0.40837696,0.33507853,0.2565445,0.10471204,0.60732984,0.28795812,0.8681721091270447,6.945376873016357,2.686567278900457,67,90.02173746318718,15.092528338207625,16,0.08376963,116.442,81,0.42408377,191,,0.09968187,,0.00212089,,,0.36161188,0.45281018,,,,0.08377519,,,,92.51382933271692,,88.19999694824219,,,91.89266905127383,83.0480087959236,,,,86.57341930534267,,,-3.808416112940362,,-1.1840251684188843,,,-8.652904432190478,6.865252653385493,,,,-7.111681225933606,,,7.7182331896842795,,6.759908199310303,,,4.038998578650511,0.7889893507231593,,,,2.1435035452058044,,,3.7281334921717644,,-0.2578097730875015,,,6.635231662541628,5.553351819515228,,,,-2.0723273009061813,,,3.966099459757196,,-12.890488654375076,,,1.9458157368157265,1.3005507774040348,,,,-2.6231991150711154,,,0.26259947,0.61484099,0.47401909,0.55555556,0.84195402,0.77852349,0.60021209,"Jakob Junis",13619,596001
2023,"Chris Martin","BOS","Chris Martin","BOS",2023,37,4,1,3,55,0,51.1,0,0,0,199,45,6,6,2,8,3,0,1,0,46,1.0519481561782793,8.064935864033474,1.4025975415710392,5.75,0.3506493853927598,0.2356020942408377,1.0324676347675705,0.3006993006993007,0.93625498,2.4368584602472976,2.896609530836618,23.202874201918508,56.47626859304622,67.56740064856037,0.23115578,0.04020101,3.0831251067571332,-1.3849103040690183,0.19095477,185,539,724,18,0.3006993006993007,2.433333333,0.279720279,0.51048951,0.209790209,0.066666666,0.066666666,3.155844468534838,0.37931034,0.28965517,0.33103448,0.19310345,0.55862069,0.24827586,1.4898927211761475,11.91914176940918,1.0519481561782793,51.1,84.5266130354021,4.070085005326704,3,0.02068966,109.454,44,0.30344828,145,,0.34487535,,0.34487535,0.1066482,,0.14958449,0.05401662,,,,,,,,95.72209149096386,,92.30442080823293,88.2090921773539,,94.90832971643519,85.33076672676282,,,,,,,-5.482783183515311,,0.2096279711129675,-6.723154043222403,,-9.431655318648726,5.19981697278145,,,,,,,8.776106378639557,,4.902556024880773,1.2644293648856026,,6.059034559461805,1.2241660876151843,,,,,,,-1.492498453706503,,8.150538947433233,3.746439378708601,,2.704004727303982,0.03621251508593559,,,,,,,-0.5993969693600413,,3.2733088142302145,4.865505686634547,,2.5037080808370202,0.09285260278445023,,,,,,,0.37241379,0.72222222,0.58171745,0.67592593,0.84294872,0.8,0.59833795,"Chris Martin",11847,455119
2022,"David Price","LAD","David Price","LAD",2022,36,2,0,2,40,0,40.1,0,0,0,167,38,11,11,6,9,2,0,0,0,37,2.4545457640776536,8.256199388261198,2.0082647160635347,4.11111111,1.3388431440423565,0.24050632911392406,1.1652894031479768,0.2782608695652174,0.93264249,3.8810261399097463,3.2317598383279784,62.01948784184227,95.78573104804897,81.23867353277599,0.22155689,0.05389222,3.0638921935361805,-1.4264803758320928,0.16766467,193,403,596,22,0.2782608695652174,1.914285714,0.15,0.558333333,0.291666666,0.028571428,0.171428571,4.909091528155307,0.32231405,0.45454545,0.2231405,0.15702479,0.53719008,0.30578512,0.10582466423511505,0.8465973138809204,2.4545457640776536,40.1,89.51270351890756,6.848188127790179,9,0.07438017,112.818,46,0.38016529,121,,0.42114094,,0.17785235,,,0.25167785,,,0.04194631,,0.10738255,,,,92.10796657121514,,87.94717349646227,,,92.40333333333334,,,78.3639990234375,,83.8687515258789,,,6.7037504279755975,,0.8517040756513488,,,9.342686360677083,,,-3.929942932128906,,8.995383262634277,,,7.135886142928287,,4.577079628998378,,,5.969227294921875,,,-1.7119009399414062,,3.7045087814331055,,,2.9920651502907276,,1.8265847768634558,,,-0.899830024689436,,,0.9335294663906097,,-4.166265835985541,,,1.1920578288010866,,1.7231931857202412,,,-0.5998866831262906,,,3.734117865562439,,-6.509790368727408,,,0.2,0.67977528,0.48657718,0.64583333,0.87190083,0.83448276,0.59731544,"David Price",3184,456034
2024,"Kevin Kelly","TBR","Kevin Kelly","TBR",2024,26,5,2,1,68,0,70.2,0,0,0,278,59,25,21,7,9,1,5,1,0,63,2.6745289756380055,8.023586926914017,1.1462267038448595,7,0.8915096585460018,0.22348484848484848,0.9622643933512401,0.26804123711340205,0.75949367,3.2655364070171284,3.133203174661399,69.09892790272474,81.68432762914901,76.10101102312595,0.22661871,0.0323741,2.834466191963464,-0.5910074313791229,0.19424461,326,707,1033,17,0.26804123711340205,2.092592592,0.16080402,0.567839195,0.271356783,0.055555555,0.129629629,2.1650948850402902,0.3880597,0.38308458,0.22885572,0.2039801,0.52238806,0.27363184,0.7682902216911316,6.146321773529053,2.6745289756380055,70.2,86.94254225127551,4.718965802873884,10,0.04975124,114.939,74,0.3681592,201,,0.02228682,,0.08430233,,,0.61531008,0.27810078,,,,,,,,91.99130647078805,,87.82873675466954,,,90.82314837598425,77.30696728005226,,,,,,,-6.122303838315218,,-0.3878126034791442,,,-10.760242372047244,10.408944904181185,,,,,,,6.255829520847486,,3.7523172312769395,,,-0.9963013656496063,3.3290177720764373,,,,,,,-1.2861695513129234,,0.5056995041668415,,,8.660747978836298,2.432430148124695,,,,,,,-5.592041527447493,,0.5812637978929213,,,1.3638973195017792,0.8475366369772456,,,,,,,0.23798077,0.58279221,0.44379845,0.64646465,0.85793872,0.81222707,0.59689922,"Kevin Kelly",25679,687330
2024,"Chris Martin","BOS","Chris Martin","BOS",2024,38,3,1,2,45,0,44.1,0,0,0,180,47,22,17,5,3,1,3,2,0,50,3.4511279185338966,10.150376230982049,0.6090225738589229,16.66666667,1.0150376230982048,0.27011494252873564,1.1278195812202276,0.35294117647058826,0.67391304,2.7830211206749174,2.6128629075936445,81.05625195479644,66.9743500727277,63.15620981796594,0.27777778,0.01666667,2.434122666148168,0.6681067978589792,0.26111111,186,472,658,14,0.35294117647058826,1.47368421,0.223140495,0.462809917,0.314049586,0.026315789,0.131578947,2.8421053446749736,0.29268293,0.37398374,0.33333333,0.15447154,0.5203252,0.32520325,0.9010557532310486,7.208446025848389,3.4511279185338966,44.1,88.50231119791667,9.391014607747396,5,0.04032258,112.251,43,0.34677419,124,,0.31050228,,0.45509893,0.13089802,,0.09436834,0.00913242,,,,,,,,94.70245481004902,,91.94949963419732,88.28953374818315,,94.05483713457662,85,,,,,,,-6.030052633846507,,0.13484379439848324,-7.106250851653343,,-9.215471821446572,5.393749872843425,,,,,,,9.208316578584558,,5.545672668661163,2.0633644281431684,,6.447175056703629,1.4208232561747234,,,,,,,0.5854510590434074,,4.557830847799778,-0.6054739281535149,,0.466637060046196,-0.9931172281503677,,,,,,,0.28698581325657224,,1.5243581430768487,-0.7040394513412963,,0.7526404194293483,-16.551953802506127,,,,,,,0.33962264,0.67091837,0.53729072,0.64444444,0.85551331,0.80169972,0.59665145,"Chris Martin",11847,455119
