Season,Name,Team,Name,Team,Season,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wOBA,wRAA,wRC,Spd,wRC+,wSB,UBR,wGDP,XBR,IFH,BUH,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Bat,Fld,Rep,Pos,RAR,WAR,Dol,BsR,Def,Off,Lg,wOBA,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,xBA,xSLG,xwOBA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
2024,"Bobby Dalbec","BOS","Bobby Dalbec","BOS",2024,29,37,83,93,11,8,2,0,1,6,8,8,0,43,1,0,1,1,3,0,0.13253012,0.086021505,0.462365591,0.186046511,0.217391304,0.192771084,0.410162388,0.060240964,0.256410256,0.19397203105947244,-8.698330531539575,2.180630130050524,4.898711112570787,14.439004437012517,0.4658288285136223,-1.0000000447034836,-0.20000000298023224,-0.6159480810165405,4,0,1,0.15,0.425,0.425,0.058823529,0.058823529,0.235294117,0,0.34146341,0.29268293,0.36585366,0.2195122,0.48780488,0.29268293,-9.104673686148779,0.6129754781723022,2.8120391350239515,-1.225422978401184,-6.767036628388048,-0.6988841790132433,-5.591073432105946,-0.15011925250291824,-0.6124475002288818,-9.254792938651697,0.28816467546857893,0.19397203105947244,86.01358032226562,9.96178741455078,1,0.02439024,107.782,15,0.36585366,41,,,,0.31404959,0.69005848,0.46973366,0.55263158,0.63559322,0.60309278,0.41404358,0.64516129,0.18554217,0.19036145,0.37590361,"Bobby Dalbec",19966,666915
2022,"David Bote","CHC","David Bote","CHC",2022,29,41,116,127,30,18,8,0,4,15,12,6,0,45,4,1,0,3,1,0,0.258620689,0.047244094,0.354330708,0.133333333,0.314960629,0.431034482,0.745995111,0.172413793,0.382352941,0.3252161506592758,1.5608517562988213,16.082851167583748,3.5466094531839163,112.17620540552934,0.08410575799643993,-0.30000001192092896,0,0.0037985481321811676,3,0,1.666666666,0.222222222,0.486111111,0.291666666,0.19047619,0.19047619,0.085714285,0,0.41666667,0.33333333,0.25,0.19444444,0.48611111,0.31944444,1.7966440876963548,-1.3642622232437134,3.7871183324605227,0.0074301245622336864,4.896691080929618,0.5141347551801315,4.113078041441052,0.0879043061286211,-1.3568320986814797,1.8845483938249759,0.5818564533255994,0.3252161506592758,92.40794179137323,7.937333227882923,5,0.06944444,109.649,40,0.55555556,72,,,,0.29965157,0.647343,0.44534413,0.45348837,0.82089552,0.67727273,0.41902834,0.62992126,0.1437247,0.22672065,0.37044534,"David Bote",14593,623520
2024,"Jose Siri","TBR","Jose Siri","TBR",2024,28,130,402,448,75,40,16,1,18,50,47,31,0,170,7,4,2,5,14,7,0.186567164,0.069196428,0.379464285,0.182352941,0.254504504,0.365671641,0.620176145,0.179104477,0.261467889,0.2707812407532254,-14.205964311830895,38.20021177840958,5.436140097422556,78.31388509339176,-0.6506537646055222,0.800000011920929,0,2.181668758392334,2,0,0.920792079,0.174468085,0.39574468,0.429787234,0.0990099,0.178217821,0.021505376,0,0.38655462,0.35294118,0.2605042,0.13865546,0.50840336,0.35294118,-11.116430982820885,10.936117172241211,13.546167016029358,1.7895511388778687,18.07456745219956,1.8667002897336187,14.93360231786895,1.5310149937868118,12.72566831111908,-9.585415989034074,1.3881481140851974,0.2707812407532254,87.52279753989362,15.36306412067819,35,0.14583333,110.972,99,0.4125,240,,,,0.38512869,0.67117727,0.5033557,0.48267327,0.69959677,0.60222222,0.41331096,0.68080357,0.2,0.16536313,0.36536313,"Jose Siri",17452,642350
2024,"Niko Kavadas","LAA","Niko Kavadas","LAA",2024,25,30,93,106,17,11,2,0,4,11,8,11,0,41,2,0,0,0,1,0,0.182795698,0.103773584,0.386792452,0.268292682,0.283018867,0.333333333,0.6163522,0.150537635,0.270833333,0.2776129853050664,-2.778380931601607,9.621294661178506,3.3796160475333794,77.29737140970066,0.010581865906715393,,,-0.5980045199394226,0,0,0.3,0.25,0.173076923,0.576923076,0.1,0.133333333,0,0,0.38461538,0.28846154,0.32692308,0.13461538,0.48076923,0.38461538,-2.7535160791731705,0.6550299525260925,3.205119874328375,-2.8532235622406006,-2.005566709455781,-0.2071303762882365,-1.657043010305892,-0.5874226540327072,-2.198193609714508,-3.3409387332058778,0.32844575913622975,0.2776129853050664,91.71485314002403,27.329202505258415,6,0.11538462,107.916,21,0.40384615,52,,,,0.18897638,0.63507109,0.39139785,0.39583333,0.78358209,0.68131868,0.45376344,0.68867925,0.12473118,0.23870968,0.36344086,"Niko Kavadas",29782,694359
2023,"Nick Pratto","KCR","Nick Pratto","KCR",2023,24,95,306,345,71,48,16,0,7,33,35,29,0,138,6,4,0,3,1,1,0.232026143,0.084057971,0.4,0.210144927,0.307246376,0.352941176,0.660187552,0.120915033,0.387878787,0.2922545680101367,-7.484047996299625,34.55219407896483,1.959310434036171,78.88289402142107,-0.8616033014841378,-0.4000000059604645,0.800000011920929,-0.5348628163337708,2,0,1,0.26744186,0.366279069,0.366279069,0.126984126,0.111111111,0.031746031,0,0.39534884,0.36046512,0.24418605,0.18023256,0.47674419,0.34302326,-8.729433739977242,-3.058581829071045,10.711723174899817,-5.65729284286499,-6.990678612795012,-0.697093007298977,-5.576744058391816,-1.3964661178179085,-8.715874671936035,-10.125899857795151,1.1393727420363575,0.2922545680101367,87.50172601744185,13.441399152888808,14,0.08139535,107.588,72,0.41860465,172,,,,0.30084236,0.60806452,0.43211578,0.432,0.82493369,0.66826156,0.42729152,0.63188406,0.1431521,0.21954577,0.36269787,"Nick Pratto",22117,668472
2023,"David Hensley","HOU","David Hensley","HOU",2023,27,30,84,94,10,8,1,0,1,12,3,10,0,35,0,0,0,0,1,0,0.119047619,0.106382978,0.372340425,0.285714285,0.212765957,0.166666666,0.379432623,0.047619047,0.1875,0.1836933785296501,-10.514228543775367,0.939124369485092,4.847358173868255,9.618445791286854,0.061307777650654316,-0.09999999403953552,0.4000000059604645,0.17339998483657837,2,0,2,0.204081632,0.530612244,0.265306122,0,0.076923076,0.076923076,0,0.32653061,0.36734694,0.30612245,0.20408163,0.46938776,0.32653061,-10.179823240773963,0.11152197420597076,2.918556459248066,-1.3608825206756592,-7.965481774924534,-0.7942979433934045,-6.354383547147236,0.23470776248723269,-1.2493605464696884,-9.94511547828673,0.31043779058381915,0.1836933785296501,90.79296875,2.428836744658801,2,0.04081633,106.966,23,0.46938776,49,,,,0.21982759,0.59302326,0.37871287,0.50980392,0.82352941,0.71895425,0.42574257,0.65957447,0.10617284,0.25432099,0.36049383,"David Hensley",25111,682073
2024,"Martín Maldonado","CHW","Martín Maldonado","CHW",2024,37,48,135,147,16,9,3,0,4,9,11,8,0,51,1,0,3,5,0,0,0.118518518,0.054421768,0.346938775,0.156862745,0.173611111,0.229629629,0.40324074,0.111111111,0.15,0.18146122909254497,-15.229183147535474,1.9665933820746826,1.08035714,10.922983618312015,-0.14206360280513763,-0.10000000149011612,0,-1.2936139106750488,0,0,0.738095238,0.13095238,0.369047619,0.5,0.119047619,0.095238095,0,0,0.47126437,0.37931034,0.14942529,0.1954023,0.48275862,0.32183908,-14.982648956463487,-6.346158027648926,4.444836052134633,3.3321900367736816,-14.531972308750078,-1.5008291064715649,-12.006632851772519,-1.4356775134801865,-3.013967990875244,-16.418326469943672,0.4554860999342054,0.18146122909254497,88.0492175874256,20.09812999906994,7,0.08045977,107.729,31,0.35632184,87,,,,0.34228188,0.6627907,0.49100719,0.42156863,0.80116959,0.65934066,0.46402878,0.72789116,0.16666667,0.19354839,0.36021505,"Martin Maldonado",6887,455117
2022,"Edwin Ríos","LAD","Edwin Ríos","LAD",2022,28,27,86,92,21,13,1,0,7,12,17,5,1,36,1,0,0,2,0,1,0.244186046,0.054347826,0.391304347,0.138888888,0.29347826,0.5,0.79347826,0.255813954,0.325581395,0.33770039906868565,2.0431463584465583,12.563019947723825,1.8615306204178732,119.86030236616692,-0.4716831957921386,0.09999999403953552,-0.30000001192092896,-0.2268381267786026,0,0,1.117647058,0.28,0.38,0.34,0,0.411764705,0,0,0.5,0.26,0.24,0.12,0.56,0.32,2.122853623346766,-1.272692322731018,2.74342430382967,-2.218792676925659,1.0977739175943335,0.11526226895619202,0.9220981516495361,-0.6985213225707412,-3.4914849996566772,1.4243323007760247,0.4215023126453161,0.33770039906868565,88.513359375,10.8525,7,0.14,107.909,20,0.4,50,,,,0.36315789,0.67515924,0.50432277,0.52173913,0.74528302,0.65714286,0.45244957,0.68478261,0.17291066,0.18443804,0.3573487,"Edwin Rios",18316,621458
2023,"Jared Walsh","LAA","Jared Walsh","LAA",2023,29,39,104,116,13,5,4,0,4,10,11,11,0,45,1,0,0,1,0,0,0.125,0.094827586,0.387931034,0.244444444,0.215517241,0.278846153,0.494363394,0.153846153,0.163636363,0.22228492950570994,-9.257150556817747,4.876774314865375,1.39285714,33.067698444223346,-0.13098710170015693,-0.20000000298023224,0.30000001192092896,0.009928276762366295,0,0,0.655172413,0.157894736,0.333333333,0.508771929,0.034482758,0.137931034,0,0,0.55932203,0.23728814,0.20338983,0.18644068,0.52542373,0.28813559,-9.303070809617735,-1.1739060878753662,3.6016228646039963,-2.0713305473327637,-8.684649961460478,-0.866011598343657,-6.928092786749256,-0.12105882493779063,-3.24523663520813,-9.424129634555525,0.3830934436991811,0.22228492950570994,86.14409436677632,18.36295144599781,4,0.06779661,109.149,18,0.30508475,59,,,,0.29850746,0.68586387,0.45969499,0.4125,0.65648855,0.56398104,0.416122,0.57758621,0.2,0.15652174,0.35652174,"Jared Walsh",18607,665120
2023,"Mike Zunino","CLE","Mike Zunino","CLE",2023,32,42,124,140,22,12,7,0,3,11,11,15,0,61,1,0,0,3,0,0,0.177419354,0.107142857,0.435714285,0.245901639,0.271428571,0.306451612,0.577880183,0.129032258,0.316666666,0.2605257749557495,-6.726133624378403,10.332051565583985,0.9884453712500001,62.57241681864329,-0.21574346162378788,-1.2999999970197678,-0.20000000298023224,-1.2069743871688843,0,0,1.304347826,0.158730158,0.476190476,0.365079365,0.130434782,0.130434782,0,0,0.55555556,0.31746032,0.12698413,0.22222222,0.44444444,0.33333333,-6.2784493959581456,-3.0607766807079315,4.346786215901375,2.9120941162109375,-3.040709437157769,-0.3032119488358525,-2.42569559068682,-1.4227178487926722,-0.14868256449699402,-7.701167244750818,0.4623541561886668,0.2605257749557495,85.90241350446429,15.132831876240079,5,0.07936508,111.182,22,0.34920635,63,,,,0.34594595,0.65677966,0.4669967,0.359375,0.78064516,0.59010601,0.38943894,0.6,0.19141914,0.16336634,0.35478548,"Mike Zunino",13265,572287
2023,"Elehuris Montero","COL","Elehuris Montero","COL",2023,24,85,284,307,69,41,15,2,11,40,39,15,0,111,5,3,0,5,0,0,0.242957746,0.048859934,0.361563517,0.135135135,0.28990228,0.426056338,0.715958618,0.183098592,0.351515151,0.306487882176129,-3.030720960274482,34.37544227771447,3.50073384625,77.82619110761284,-0.47001254139468074,0.20000000298023224,0,-0.6719425916671753,11,0,1.196969696,0.176136363,0.448863636,0.375,0.075757575,0.166666666,0.139240506,0,0.41477273,0.33522727,0.25,0.20454545,0.39204545,0.40340909,-8.433291915729786,-4.017536640167236,9.5318812020123,-5.559556484222412,-8.721493082046653,-0.8696855022877874,-6.957484018302299,-1.141955133061856,-9.577093124389648,-9.575247048791642,0.8989658891223371,0.306487882176129,88.31393710049716,9.85082314231179,12,0.06818182,110.516,77,0.4375,176,,,,0.45516304,0.65967366,0.5304721,0.46865672,0.81625442,0.62783172,0.36824034,0.68403909,0.19691781,0.15753425,0.35445205,"Elehuris Montero",20543,660707
2022,"Oneil Cruz","PIT","Oneil Cruz","PIT",2022,23,87,331,361,77,43,13,4,17,45,54,28,1,126,1,1,0,3,10,4,0.232628398,0.077562326,0.34903047,0.222222222,0.293628808,0.450151057,0.743779865,0.217522659,0.317460317,0.32041797952519524,3.060676963259594,44.339746155967134,6.44059432888276,103.73181252068024,0.11740632681176066,0.3999999761581421,1.5,3.2673091888427734,9,0,1.422535211,0.165048543,0.490291262,0.344660194,0.126760563,0.239436619,0.08910891,0,0.4368932,0.34466019,0.2184466,0.18446602,0.43203883,0.38349515,1.5652127798694533,-6.617283344268799,10.76495840959251,2.618312120437622,13.369853903730528,1.4037860363214165,11.230288290571332,3.384715515654534,-3.9989712238311768,4.949928295523987,1.6539384224452078,0.32041797952519524,91.93677591463414,8.283935546875,32,0.15533981,122.377,94,0.45631068,206,,,,0.32343234,0.5428051,0.40603567,0.49659864,0.82550336,0.66216216,0.37654321,0.55401662,0.13708019,0.2172721,0.3543523,"Oneil Cruz",21711,665833
2022,"Eli White","TEX","Eli White","TEX",2022,28,47,105,117,21,16,2,0,3,16,10,11,0,41,0,1,0,0,12,1,0.2,0.094017094,0.35042735,0.268292682,0.273504273,0.304761904,0.578266177,0.104761904,0.29032258,0.2603141436210045,-4.5946303761442415,8.783904514567066,7.0353365111080945,66.47766508184243,1.891065118368715,1.399999976158142,0.8999999761581421,-0.049964871257543564,1,5,0.629629629,0.214285714,0.303571428,0.482142857,0.111111111,0.111111111,0.058823529,0.555555555,0.4,0.24615385,0.35384615,0.13846154,0.61538462,0.24615385,-4.413544051988911,5.191194534301758,3.4889200385659933,-0.5892775058746338,5.729900594277378,0.6016187238599529,4.812949790879623,1.8411002471111715,4.601917028427124,-2.5724438048777394,0.21150733216200024,0.2603141436210045,86.35989815848214,21.50616237095424,3,0.04615385,105.166,19,0.29230769,65,,,,0.26506024,0.71282051,0.46171171,0.43939394,0.69064748,0.6097561,0.43918919,0.58974359,0.18018018,0.17342342,0.3536036,"Eli White",19346,642201
2023,"Jose Siri","TBR","Jose Siri","TBR",2023,27,101,338,364,75,35,13,2,25,58,56,20,0,130,2,3,1,5,12,3,0.221893491,0.054945054,0.357142857,0.153846153,0.26721763,0.49408284,0.76130047,0.272189349,0.268817204,0.31864430063683796,0.08150329202592738,44.432784785928135,7.276778383814743,105.64747969408702,0.694573859218508,2.800000011920929,0.699999988079071,1.5554429292678833,6,2,0.872340425,0.157894736,0.392344497,0.449760765,0.031914893,0.265957446,0.073170731,0.666666666,0.48584906,0.33490566,0.17924528,0.13679245,0.53301887,0.33018868,2.463137408198718,7.276543617248535,11.301644161343575,1.323159098625183,25.816621879992937,2.5743690393212693,20.594952314570154,2.2500167884863913,8.599702715873718,4.713154196685109,1.2021208060905337,0.31864430063683796,88.32517172403382,14.376105675330528,27,0.12735849,113.669,79,0.37264151,212,,,,0.39596469,0.71926606,0.52765321,0.47133758,0.73214286,0.61614731,0.40732436,0.65384615,0.2016369,0.15178571,0.35342262,"Jose Siri",17452,642350
